221,Abilene,Texas,120099,3.60%
986,Addison,Illinois,37385,2.60%
116,Akron,Ohio,198100,-8.60%
435,Alameda,California,76419,5.40%
299,Albany,New York,98424,4.10%
436,Albany,Georgia,76185,-0.60%
714,Albany,Oregon,51583,25.50%
32,Albuquerque,New Mexico,556495,23.50%
165,Alexandria,Virginia,148892,15.00%
775,Alexandria,Louisiana,48426,4.10%
372,Alhambra,California,84577,-0.70%
741,Aliso Viejo,California,50175,25.40%
328,Allen,Texas,92020,104.00%
224,Allentown,Pennsylvania,118577,11.20%
560,Alpharetta,Georgia,62298,33.60%
873,Altamonte Springs,Florida,42150,2.00%
812,Altoona,Pennsylvania,45796,-7.30%
120,Amarillo,Texas,196429,12.80%
568,Ames,Iowa,61792,21.30%
56,Anaheim,California,345012,4.70%
63,Anchorage,Alaska,300950,15.40%
655,Anderson,Indiana,55670,-6.60%
715,Ankeny,Iowa,51567,86.90%
229,Ann Arbor,Michigan,117025,2.00%
954,Annapolis,Maryland,38722,7.60%
265,Antioch,California,107100,16.90%
994,Apache Junction,Arizona,37130,15.70%
871,Apex,North Carolina,42214,98.80%
815,Apopka,Florida,45587,63.90%
477,Apple Valley,California,70924,29.90%
739,Apple Valley,Minnesota,50201,9.20%
456,Appleton,Wisconsin,73596,4.50%
626,Arcadia,California,57639,8.30%
50,Arlington,Texas,379577,13.30%
437,Arlington Heights,Illinois,75994,-0.60%
241,Arvada,Colorado,111707,9.20%
357,Asheville,North Carolina,87236,19.60%
222,Athens-Clarke County,Georgia,119980,19.00%
40,Atlanta,Georgia,447841,6.20%
933,Atlantic City,New Jersey,39551,-2.20%
839,Attleboro,Massachusetts,43886,4.60%
447,Auburn,Washington,74860,34.90%
615,Auburn,Alabama,58582,26.40%
119,Augusta-Richmond County,Georgia,197350,1.10%
55,Aurora,Colorado,345803,24.40%
114,Aurora,Illinois,199963,38.40%
11,Austin,Texas,885400,31.70%
991,Aventura,Florida,37199,47.20%
413,Avondale,Arizona,78822,111.50%
780,Azusa,California,47842,6.70%
52,Bakersfield,California,363630,48.40%
433,Baldwin Park,California,76635,0.80%
26,Baltimore,Maryland,622104,-4.00%
827,Barnstable Town,Massachusetts,44641,-7.10%
622,Bartlett,Tennessee,58226,31.70%
881,Bartlett,Illinois,41679,13.10%
93,Baton Rouge,Louisiana,229426,0.40%
710,Battle Creek,Michigan,51848,-2.80%
538,Bayonne,New Jersey,65028,5.10%
441,Baytown,Texas,75418,13.10%
226,Beaumont,Texas,117796,3.70%
910,Beaumont,California,40481,254.50%
814,Beavercreek,Ohio,45712,19.00%
319,Beaverton,Oregon,93542,17.00%
771,Bedford,Texas,48592,2.90%
862,Bell Gardens,California,42889,-2.70%
861,Belleville,Illinois,42895,1.20%
190,Bellevue,Washington,133992,19.10%
685,Bellevue,Nebraska,53663,20.50%
427,Bellflower,California,77593,6.30%
390,Bellingham,Washington,82631,21.80%
999,Beloit,Wisconsin,36888,2.90%
398,Bend,Oregon,81236,54.30%
921,Bentonville,Arkansas,40167,97.70%
231,Berkeley,California,116768,13.30%
638,Berwyn,Illinois,56758,5.10%
444,Bethlehem,Pennsylvania,75018,5.20%
904,Beverly,Massachusetts,40664,2.00%
256,Billings,Montana,109059,18.60%
825,Biloxi,Mississippi,44820,-11.50%
800,Binghamton,New York,46444,-1.70%
101,Birmingham,Alabama,212113,-12.30%
510,Bismarck,North Dakota,67034,20.10%
841,Blacksburg,Virginia,43609,9.40%
587,Blaine,Minnesota,60407,32.80%
362,Bloomington,Minnesota,86319,1.30%
392,Bloomington,Indiana,82575,16.10%
412,Bloomington,Illinois,78902,20.10%
689,Blue Springs,Missouri,53294,9.90%
345,Boca Raton,Florida,89407,7.50%
98,Boise City,Idaho,214237,9.50%
454,Bolingbrook,Illinois,73936,29.70%
787,Bonita Springs,Florida,47547,43.80%
518,Bossier City,Louisiana,66333,17.40%
24,Boston,Massachusetts,645966,9.40%
279,Boulder,Colorado,103166,9.00%
856,Bountiful,Utah,43023,3.90%
637,Bowie,Maryland,56759,8.60%
571,Bowling Green,Kentucky,61488,24.10%
474,Boynton Beach,Florida,71097,17.30%
925,Bozeman,Montana,39860,41.90%
711,Bradenton,Florida,51763,3.40%
893,Brea,California,40963,15.20%
950,Bremerton,Washington,39056,4.90%
663,Brentwood,California,55000,122.30%
924,Brentwood,Tennessee,40021,51.90%
172,Bridgeport,Connecticut,147216,5.40%
583,Bristol,Connecticut,60568,0.40%
317,Brockton,Massachusetts,94089,-0.30%
278,Broken Arrow,Oklahoma,103500,28.20%
971,Brookfield,Wisconsin,37999,-1.90%
729,Brookhaven,Georgia,50603,0%
419,Brooklyn Park,Minnesota,78373,16.00%
600,Broomfield,Colorado,59471,50.30%
131,Brownsville,Texas,181860,26.80%
416,Bryan,Texas,78709,19.30%
641,Buckeye,Arizona,56683,480.90%
386,Buena Park,California,82882,6.10%
73,Buffalo,New York,258959,-11.30%
875,Buffalo Grove,Illinois,41778,-3.40%
941,Bullhead City,Arizona,39383,15.90%
274,Burbank,California,104709,4.20%
747,Burien,Washington,49858,56.70%
903,Burleson,Texas,40714,85.30%
717,Burlington,North Carolina,51510,12.10%
870,Burlington,Vermont,42284,6.10%
572,Burnsville,Minnesota,61434,1.90%
763,Caldwell,Idaho,48957,77.10%
940,Calexico,California,39389,44.00%
989,Calumet City,Illinois,37240,-4.50%
523,Camarillo,California,66086,14.90%
264,Cambridge,Massachusetts,107289,5.50%
430,Camden,New Jersey,76903,-3.60%
908,Campbell,California,40584,4.20%
463,Canton,Ohio,72535,-10.30%
146,Cape Coral,Florida,165831,60.40%
953,Cape Girardeau,Missouri,38816,9.40%
244,Carlsbad,California,110972,39.70%
366,Carmel,Indiana,85927,60.40%
914,Carol Stream,Illinois,40379,-0.20%
965,Carpentersville,Illinois,38241,22.80%
207,Carrollton,Texas,126700,14.90%
325,Carson,California,92599,2.90%
678,Carson City,Nevada,54080,2.90%
163,Cary,North Carolina,151088,55.10%
743,Casa Grande,Arizona,50111,86.00%
599,Casper,Wyoming,59628,19.90%
692,Castle Rock,Colorado,53063,153.50%
693,Cathedral City,California,52977,23.20%
909,Cedar Falls,Iowa,40566,12.00%
798,Cedar Hill,Texas,46663,42.40%
575,Cedar Park,Texas,61238,134.30%
199,Cedar Rapids,Iowa,128429,5.40%
268,Centennial,Colorado,106114,3.50%
797,Ceres,California,46714,34.00%
750,Cerritos,California,49707,-3.60%
385,Champaign,Illinois,83424,18.30%
79,Chandler,Arizona,249146,38.70%
598,Chapel Hill,North Carolina,59635,24.10%
200,Charleston,South Carolina,127999,29.20%
725,Charleston,West Virginia,50821,-4.70%
16,Charlotte,North Carolina,792862,39.10%
831,Charlottesville,Virginia,44349,10.50%
136,Chattanooga,Tennessee,173366,10.50%
976,Chelsea,Massachusetts,37670,7.30%
91,Chesapeake,Virginia,230571,15.10%
782,Chesterfield,Missouri,47749,1.90%
558,Cheyenne,Wyoming,62448,16.90%
3,Chicago,Illinois,2718782,-6.10%
350,Chico,California,88077,14.20%
654,Chicopee,Massachusetts,55717,1.70%
402,Chino,California,80988,15.60%
434,Chino Hills,California,76572,13.60%
75,Chula Vista,California,256780,46.20%
377,Cicero,Illinois,84103,-1.60%
65,Cincinnati,Ohio,297517,-10.10%
369,Citrus Heights,California,85285,-0.10%
181,Clarksville,Tennessee,142357,36.90%
252,Clearwater,Florida,109703,0.10%
48,Cleveland,Ohio,390113,-18.10%
863,Cleveland,Tennessee,42774,14.10%
820,Cleveland Heights,Ohio,45394,-10.30%
368,Clifton,New Jersey,85390,7.90%
296,Clovis,California,99769,42.60%
934,Clovis,New Mexico,39508,21.30%
853,Coachella,California,43092,88.40%
636,Coconut Creek,Florida,56792,28.40%
801,Coeur d'Alene,Idaho,46402,32.80%
293,College Station,Texas,100050,45.20%
790,Collierville,Tennessee,47333,43.40%
41,Colorado Springs,Colorado,439886,21.40%
690,Colton,California,53243,10.80%
192,Columbia,South Carolina,133358,11.70%
235,Columbia,Missouri,115276,34.00%
15,Columbus,Ohio,822553,14.80%
110,Columbus,Georgia,202824,8.70%
813,Columbus,Indiana,45775,16.40%
748,Commerce City,Colorado,49799,135.40%
301,Compton,California,97877,4.50%
211,Concord,California,125880,2.90%
383,Concord,North Carolina,83506,47.40%
869,Concord,New Hampshire,42419,4.10%
555,Conroe,Texas,63032,61.90%
546,Conway,Arkansas,63816,46.10%
563,Coon Rapids,Minnesota,62103,0.60%
918,Coppell,Texas,40342,10.30%
752,Coral Gables,Florida,49631,16.10%
208,Coral Springs,Florida,126604,5.70%
154,Corona,California,159503,23.60%
60,Corpus Christi,Texas,316381,14.10%
659,Corvallis,Oregon,55298,11.80%
239,Costa Mesa,California,112174,2.40%
565,Council Bluffs,Iowa,61969,6.20%
774,Covina,California,48508,3.30%
894,Covington,Kentucky,40956,-4.70%
405,Cranston,Rhode Island,80566,1.40%
912,Crystal Lake,Illinois,40388,5.30%
936,Culver City,California,39428,1.30%
589,Cupertino,California,60189,14.30%
848,Cutler Bay,Florida,43328,42.90%
757,Cuyahoga Falls,Ohio,49267,-0.20%
762,Cypress,California,49087,5.30%
9,Dallas,Texas,1257676,5.60%
273,Daly City,California,104739,1.00%
380,Danbury,Connecticut,83684,11.40%
846,Danville,California,43341,3.70%
859,Danville,Virginia,42907,-11.00%
283,Davenport,Iowa,102157,3.90%
307,Davie,Florida,96830,17.70%
521,Davis,California,66205,11.90%
179,Dayton,Ohio,143355,-13.50%
559,Daytona Beach,Florida,62316,-2.30%
311,Dearborn,Michigan,95884,-2.00%
642,Dearborn Heights,Michigan,56620,-3.00%
448,Decatur,Illinois,74710,-8.70%
653,Decatur,Alabama,55816,3.10%
422,Deerfield Beach,Florida,78041,4.80%
840,DeKalb,Illinois,43849,11.80%
701,Delano,California,52403,31.80%
543,Delray Beach,Florida,64072,6.10%
363,Deltona,Florida,86290,23.10%
217,Denton,Texas,123099,47.10%
22,Denver,Colorado,649495,16.70%
104,Des Moines,Iowa,207510,3.90%
611,Des Plaines,Illinois,58918,3.20%
718,DeSoto,Texas,51483,36.00%
18,Detroit,Michigan,688701,-27.10%
646,Diamond Bar,California,56449,0.10%
738,Doral,Florida,50213,137.60%
502,Dothan,Alabama,68001,16.60%
987,Dover,Delaware,37366,16.00%
751,Downers Grove,Illinois,49670,0.00%
238,Downey,California,113242,5.30%
821,Draper,Utah,45285,77.40%
706,Dublin,California,52105,70.00%
842,Dublin,Ohio,43607,37.60%
621,Dubuque,Iowa,58253,0.90%
365,Duluth,Minnesota,86128,-0.10%
932,Duncanville,Texas,39605,9.70%
784,Dunwoody,Georgia,47591,0%
82,Durham,North Carolina,245475,29.90%
529,Eagan,Minnesota,65453,2.60%
772,East Lansing,Michigan,48554,4.20%
540,East Orange,New Jersey,64544,-7.40%
793,East Providence,Rhode Island,47149,-3.30%
660,Eastvale,California,55191,0%
508,Eau Claire,Wisconsin,67545,8.70%
557,Eden Prairie,Minnesota,62603,13.30%
756,Edina,Minnesota,49376,4.10%
404,Edinburg,Texas,80836,65.10%
359,Edmond,Oklahoma,87004,26.90%
902,Edmonds,Washington,40727,2.90%
282,El Cajon,California,102211,7.40%
845,El Centro,California,43363,13.70%
234,El Monte,California,115708,-0.40%
19,El Paso,Texas,674433,19.40%
249,Elgin,Illinois,110145,16.00%
203,Elizabeth,New Jersey,127558,5.50%
151,Elk Grove,California,161007,97.10%
721,Elkhart,Indiana,51265,-2.50%
816,Elmhurst,Illinois,45556,5.70%
681,Elyria,Ohio,53956,-3.70%
570,Encinitas,California,61588,5.80%
727,Enid,Oklahoma,50725,8.10%
290,Erie,Pennsylvania,100671,-2.80%
166,Escondido,California,148738,10.70%
777,Euclid,Ohio,48139,-8.40%
155,Eugene,Oregon,159190,14.40%
691,Euless,Texas,53224,15.10%
439,Evanston,Illinois,75570,1.90%
219,Evansville,Indiana,120310,-0.80%
269,Everett,Washington,105370,9.40%
858,Everett,Massachusetts,42935,12.10%
255,Fairfield,California,109320,12.80%
865,Fairfield,Ohio,42635,1.20%
349,Fall River,Massachusetts,88697,-3.70%
237,Fargo,North Dakota,113658,24.90%
818,Farmington,New Mexico,45426,18.10%
397,Farmington Hills,Michigan,81295,-0.90%
106,Fayetteville,North Carolina,204408,2.40%
411,Fayetteville,Arkansas,78960,32.90%
324,Federal Way,Washington,92734,8.80%
884,Findlay,Ohio,41512,5.80%
378,Fishers,Indiana,83891,114.80%
913,Fitchburg,Massachusetts,40383,3.50%
495,Flagstaff,Arizona,68667,29.30%
297,Flint,Michigan,99763,-20.00%
922,Florence,Alabama,40059,10.20%
973,Florence,South Carolina,37792,19.80%
703,Florissant,Missouri,52363,-2.80%
496,Flower Mound,Texas,68609,32.50%
458,Folsom,California,73098,38.60%
857,Fond du Lac,Wisconsin,42970,1.70%
109,Fontana,California,203003,38.30%
160,Fort Collins,Colorado,152061,26.60%
139,Fort Lauderdale,Florida,172389,0.70%
501,Fort Myers,Florida,68190,31.20%
854,Fort Pierce,Florida,43074,6.90%
355,Fort Smith,Arkansas,87650,8.60%
76,Fort Wayne,Indiana,256496,1.00%
17,Fort Worth,Texas,792727,45.10%
640,Fountain Valley,California,56707,3.00%
494,Franklin,Tennessee,68886,48.50%
514,Frederick,Maryland,66893,25.90%
851,Freeport,New York,43167,-1.40%
97,Fremont,California,224922,10.00%
34,Fresno,California,509924,18.30%
980,Friendswood,Texas,37587,28.60%
186,Frisco,Texas,136791,287.70%
184,Fullerton,California,138981,9.80%
204,Gainesville,Florida,127488,12.80%
526,Gaithersburg,Maryland,65690,24.20%
765,Galveston,Texas,48733,-15.20%
135,Garden Grove,California,175140,5.80%
593,Gardena,California,59957,3.40%
88,Garland,Texas,234566,8.50%
417,Gary,Indiana,78450,-23.40%
457,Gastonia,North Carolina,73209,8.20%
666,Georgetown,Texas,54898,91.90%
942,Germantown,Tennessee,39375,4.10%
92,Gilbert,Arizona,229972,96.00%
712,Gilroy,California,51701,23.90%
87,Glendale,Arizona,234632,5.70%
121,Glendale,California,196021,0.30%
723,Glendora,California,51074,3.10%
819,Glenview,Illinois,45417,5.20%
462,Goodyear,Arizona,72864,271.00%
927,Goose Creek,South Carolina,39823,26.10%
665,Grand Forks,North Dakota,54932,11.50%
731,Grand Island,Nebraska,50550,16.00%
596,Grand Junction,Colorado,59778,30.90%
127,Grand Prairie,Texas,183372,43.10%
123,Grand Rapids,Michigan,192294,-2.80%
740,Grapevine,Texas,50195,17.60%
604,Great Falls,Montana,59351,3.90%
308,Greeley,Colorado,96539,23.10%
272,Green Bay,Wisconsin,104779,1.90%
955,Greenacres,Florida,38696,35.50%
993,Greenfield,Wisconsin,37159,4.80%
68,Greensboro,North Carolina,279639,22.30%
347,Greenville,North Carolina,89130,41.90%
573,Greenville,South Carolina,61397,8.20%
684,Greenwood,Indiana,53665,46.00%
254,Gresham,Oregon,109397,20.70%
984,Grove City,Ohio,37490,35.60%
476,Gulfport,Mississippi,71012,-0.60%
834,Hackensack,New Jersey,44113,2.90%
906,Hagerstown,Maryland,40612,10.40%
957,Hallandale Beach,Florida,38632,12.40%
843,Haltom City,Texas,43580,11.40%
561,Hamilton,Ohio,62258,2.70%
410,Hammond,Indiana,78967,-4.60%
187,Hampton,Virginia,136699,-6.60%
670,Hanford,California,54686,30.30%
961,Hanover Park,Illinois,38510,0.60%
527,Harlingen,Texas,65665,11.60%
759,Harrisburg,Pennsylvania,49188,0.60%
719,Harrisonburg,Virginia,51395,27.10%
212,Hartford,Connecticut,125017,0.60%
785,Hattiesburg,Mississippi,47556,3.10%
564,Haverhill,Massachusetts,62088,5.00%
364,Hawthorne,California,86199,2.30%
161,Hayward,California,151574,7.50%
395,Hemet,California,81750,37.60%
658,Hempstead,New York,55361,4.00%
71,Henderson,Nevada,270811,51.00%
680,Hendersonville,Tennessee,54068,31.70%
327,Hesperia,California,92147,46.10%
89,Hialeah,Florida,233394,3.20%
915,Hickory,North Carolina,40361,7.00%
260,High Point,North Carolina,107741,24.30%
675,Highland,California,54291,21.00%
303,Hillsboro,Oregon,97368,36.40%
938,Hilton Head Island,South Carolina,39412,16.00%
697,Hoboken,New Jersey,52575,35.80%
702,Hoffman Estates,Illinois,52398,5.40%
174,Hollywood,Florida,146526,4.80%
920,Holyoke,Massachusetts,40249,0.90%
542,Homestead,Florida,64079,100.70%
54,Honolulu,Hawaii,347884,-6.20%
376,Hoover,Alabama,84126,32.70%
4,Houston,Texas,2195914,11.00%
967,Huber Heights,Ohio,38142,-0.20%
733,Huntersville,North Carolina,50458,92.90%
760,Huntington,West Virginia,49177,-5.00%
117,Huntington Beach,California,197575,3.90%
612,Huntington Park,California,58879,-4.10%
126,Huntsville,Alabama,186254,16.30%
928,Huntsville,Texas,39795,13.20%
962,Hurst,Texas,38448,5.80%
874,Hutchinson,Kansas,41889,0.10%
620,Idaho Falls,Idaho,58292,14.00%
227,Independence,Missouri,117240,3.20%
12,Indianapolis,Indiana,843393,7.80%
382,Indio,California,83539,66.00%
242,Inglewood,California,111542,-1.00%
468,Iowa City,Iowa,71591,13.80%
85,Irvine,California,236716,61.30%
94,Irving,Texas,228653,19.10%
138,Jackson,Mississippi,172638,-6.80%
505,Jackson,Tennessee,67685,12.90%
13,Jacksonville,Florida,842583,14.30%
493,Jacksonville,North Carolina,69079,5.00%
545,Janesville,Wisconsin,63820,5.60%
847,Jefferson City,Missouri,43330,6.70%
809,Jeffersonville,Indiana,45929,53.30%
74,Jersey City,New Jersey,257342,7.20%
389,Johns Creek,Georgia,82788,36.50%
535,Johnson City,Tennessee,65123,16.20%
169,Joliet,Illinois,147806,36.50%
469,Jonesboro,Arkansas,71551,28.30%
726,Joplin,Missouri,50789,11.20%
619,Jupiter,Florida,58298,46.20%
300,Jurupa Valley,California,98030,0%
440,Kalamazoo,Michigan,75548,-1.90%
830,Kannapolis,North Carolina,44359,18.60%
37,Kansas City,Missouri,467007,5.50%
168,Kansas City,Kansas,148483,1.10%
882,Kearny,New Jersey,41664,2.80%
997,Keizer,Oregon,37064,14.40%
860,Keller,Texas,42907,53.30%
512,Kenner,Louisiana,66975,-4.80%
432,Kennewick,Washington,76762,29.10%
294,Kenosha,Wisconsin,99889,9.50%
213,Kent,Washington,124435,54.30%
737,Kentwood,Michigan,50233,10.50%
651,Kettering,Ohio,55870,-3.10%
185,Killeen,Texas,137147,52.10%
694,Kingsport,Tennessee,52962,16.70%
373,Kirkland,Washington,84430,87.50%
534,Kissimmee,Florida,65173,32.60%
128,Knoxville,Tennessee,183270,3.90%
635,Kokomo,Indiana,56895,21.30%
716,La Crosse,Wisconsin,51522,-0.80%
569,La Habra,California,61653,3.60%
613,La Mesa,California,58642,6.90%
761,La Mirada,California,49133,4.60%
911,La Puente,California,40435,-1.60%
943,La Quinta,California,39331,59.90%
824,Lacey,Washington,44919,41.70%
214,Lafayette,Louisiana,124276,11.00%
481,Lafayette,Indiana,70373,14.50%
539,Laguna Niguel,California,64652,2.80%
452,Lake Charles,Louisiana,74024,3.00%
628,Lake Elsinore,California,57525,96.50%
408,Lake Forest,California,79312,4.20%
695,Lake Havasu City,Arizona,52844,24.60%
979,Lake Oswego,Oregon,37610,5.30%
289,Lakeland,Florida,100710,18.30%
616,Lakeville,Minnesota,58562,34.30%
173,Lakewood,Colorado,147214,1.90%
399,Lakewood,California,81121,2.10%
607,Lakewood,Washington,59097,1.10%
722,Lakewood,Ohio,51143,-9.40%
153,Lancaster,California,159523,33.80%
605,Lancaster,Pennsylvania,59325,4.50%
944,Lancaster,Ohio,39325,10.70%
968,Lancaster,Texas,38071,46.40%
236,Lansing,Michigan,113972,-4.40%
80,Laredo,Texas,248142,38.20%
418,Largo,Florida,78409,5.10%
285,Las Cruces,New Mexico,101324,37.60%
30,Las Vegas,Nevada,603488,24.50%
488,Lauderhill,Florida,69813,4.20%
338,Lawrence,Kansas,90811,12.70%
426,Lawrence,Massachusetts,77657,7.50%
794,Lawrence,Indiana,47135,20.50%
304,Lawton,Oklahoma,97151,4.90%
480,Layton,Utah,70790,20.20%
337,League City,Texas,90983,98.30%
323,Lee's Summit,Missouri,93184,31.20%
783,Leesburg,Virginia,47673,66.00%
673,Lehi,Utah,54382,176.30%
735,Lenexa,Kansas,50344,24.60%
891,Leominster,Massachusetts,41002,-1.10%
287,Lewisville,Texas,101074,28.90%
61,Lexington-Fayette,Kentucky,308428,18.00%
963,Lima,Ohio,38355,-8.10%
72,Lincoln,Nebraska,268738,18.00%
822,Lincoln,California,45237,285.20%
988,Lincoln Park,Michigan,37313,-6.70%
886,Linden,New Jersey,41301,4.70%
118,Little Rock,Arkansas,197357,7.60%
